Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2023-03-16,1933.31,1254.13,2550.0,3053.38,1655.41,64.31,9649.51,4456.88,8767.75,1421.55,13.92,3572.15,3540.64,2118.68
2023-03-19,1926.4,1247.41,2556.81,3080.01,1655.33,64.47,9588.42,4407.77,8770.47,1416.31,13.76,3534.47,3524.82,2121.29
2023-03-20,1949.06,1254.11,2613.4,3147.63,1682.45,65.6,9682.73,4443.24,8853.98,1446.54,13.8,3549.47,3587.76,2198.6
2023-03-22,1933.29,1246.5,2586.57,3111.72,1658.83,65.26,9555.34,4359.58,8759.38,1439.5,13.78,3537.73,3541.9,2197.84
2023-03-23,1915.14,1238.48,2549.98,3069.23,1637.42,64.45,9468.49,4350.2,8721.54,1424.37,13.64,3478.57,3529.96,2149.91
2023-03-26,1888.27,1220.92,2525.79,3056.71,1618.53,63.81,9385.47,4262.9,8622.39,1420.38,12.99,3344.65,3476.54,2106.13
2023-03-27,1906.0,1224.06,2569.3,3104.21,1651.16,64.33,9579.92,4362.88,8748.82,1433.67,13.06,3327.63,3553.4,2132.13
2023-03-28,1918.1,1227.82,2575.62,3117.97,1645.7,64.95,9609.51,4444.06,8738.45,1441.29,13.4,3443.53,3542.26,2154.95
2023-03-29,1919.42,1227.68,2574.66,3159.68,1640.01,65.09,9558.66,4440.13,8757.11,1450.41,13.37,3452.72,3529.39,2135.88
2023-03-30,1908.55,1222.53,2554.17,3175.61,1623.72,64.72,9525.96,4405.18,8756.32,1434.29,13.43,3420.26,3516.33,2131.27
2023-04-02,1888.55,1209.31,2512.5,3156.7,1599.83,63.97,9489.21,4369.46,8709.08,1423.32,13.41,3384.42,3475.02,2076.28
2023-04-03,1871.88,1200.37,2479.86,3138.92,1587.17,63.32,9441.17,4324.06,8606.84,1415.32,13.29,3345.43,3440.65,2101.51
2023-04-04,1866.68,1194.56,2484.26,3142.1,1589.87,63.3,9360.48,4323.34,8487.21,1410.96,13.29,3353.07,3451.44,2104.53
2023-04-05,1875.07,1202.38,2494.5,3174.88,1596.26,63.68,9389.82,4319.06,8442.86,1414.74,13.38,3382.12,3455.32,2095.92
2023-04-06,1866.79,1202.92,2465.93,3165.47,1573.67,63.05,9371.2,4299.68,8444.55,1403.77,13.27,3368.98,3413.19,2099.96
2023-04-09,1838.48,1187.81,2408.03,3122.43,1545.94,62.39,9191.26,4249.87,8291.19,1386.74,13.18,3324.62,3351.67,2072.62
2023-04-10,1844.02,1191.94,2413.99,3175.94,1544.3,62.48,9207.43,4266.02,8322.26,1387.28,13.26,3331.31,3369.82,2099.54
2023-04-11,1871.33,1208.71,2451.92,3229.16,1581.78,63.27,9293.53,4405.93,8385.17,1404.74,13.42,3381.06,3448.99,2121.52
2023-04-12,1963.55,1274.74,2572.2,3347.52,1689.99,65.96,9736.79,4624.13,8728.46,1452.29,13.8,3553.73,3646.79,2205.73
2023-04-13,1934.47,1254.84,2525.36,3344.6,1656.57,65.36,9643.18,4516.55,8603.37,1431.27,13.74,3521.61,3556.32,2171.42
2023-04-16,1931.68,1254.99,2510.97,3500.35,1647.97,65.13,9651.91,4491.34,8622.16,1424.35,13.71,3498.31,3541.77,2150.14
2023-04-17,1908.04,1241.82,2478.03,3495.41,1618.32,64.1,9502.01,4432.32,8564.93,1412.26,13.53,3439.8,3475.19,2132.41
2023-04-18,1904.98,1241.8,2475.54,3535.37,1611.46,63.74,9490.72,4382.71,8570.36,1411.9,13.6,3419.79,3462.93,2113.47
2023-04-19,1920.12,1251.24,2497.79,3554.42,1629.59,64.37,9553.62,4397.85,8641.2,1418.37,13.54,3451.96,3507.04,2137.35
2023-04-20,1904.4,1245.94,2465.47,3547.3,1605.21,63.62,9476.65,4353.43,8605.23,1405.22,13.49,3412.66,3459.72,2126.08
2023-04-23,1885.6,1229.23,2437.52,3558.37,1572.91,63.1,9357.91,4339.04,8575.69,1403.23,13.48,3383.57,3423.74,2094.85
2023-04-24,1888.32,1229.07,2444.83,3492.54,1580.05,63.03,9440.0,4365.02,8556.51,1407.72,13.64,3387.53,3448.28,2099.31
2023-04-25,1905.68,1241.24,2456.92,3559.52,1599.54,63.92,9497.3,4443.65,8651.93,1414.46,13.63,3403.31,3505.33,2112.53
2023-04-26,1892.0,1233.58,2436.36,3512.62,1586.79,63.07,9440.48,4408.93,8600.98,1409.02,13.59,3382.36,3469.4,2105.95
2023-04-27,1889.73,1236.56,2430.22,3576.94,1577.82,63.01,9425.28,4352.51,8590.28,1399.21,13.57,3362.45,3463.7,2105.04
2023-04-30,1870.65,1227.08,2384.78,3550.0,1557.82,62.67,9338.1,4311.28,8543.61,1380.93,13.38,3331.01,3421.03,2069.63
2023-05-02,1866.4,1226.01,2364.11,3560.77,1560.0,62.52,9342.03,4321.15,8517.37,1381.16,13.45,3310.41,3422.62,2038.01
2023-05-03,1857.23,1224.03,2334.88,3508.17,1547.71,62.43,9282.34,4321.71,8507.03,1366.65,13.48,3289.0,3414.62,2034.34
2023-05-04,1869.73,1228.2,2364.17,3535.08,1568.09,62.63,9332.52,4347.95,8638.71,1379.11,13.52,3310.4,3436.98,2049.2
2023-05-07,1850.61,1219.09,2315.97,3471.66,1549.06,61.93,9292.47,4341.54,8535.98,1368.63,13.52,3269.23,3402.74,2039.14
2023-05-08,1833.69,1212.59,2272.17,3387.1,1530.64,61.62,9170.98,4311.34,8429.04,1359.86,13.51,3242.43,3389.03,2026.79
2023-05-09,1844.36,1216.17,2296.75,3452.94,1538.14,62.11,9245.99,4369.93,8449.64,1363.23,13.54,3253.41,3417.42,2029.14
2023-05-10,1841.93,1213.54,2298.98,3438.61,1541.4,61.89,9236.8,4395.96,8480.47,1352.45,13.48,3254.35,3408.52,2024.35
2023-05-11,1838.59,1214.17,2289.56,3430.83,1531.02,61.88,9238.52,4395.9,8452.67,1348.13,13.53,3235.71,3391.87,2012.48
2023-05-14,1821.64,1205.5,2239.01,3403.17,1511.74,62.58,9198.21,4326.65,8412.15,1320.21,13.47,3219.3,3353.25,2001.46
2023-05-15,1818.31,1201.79,2233.67,3386.52,1512.85,62.52,9189.74,4349.35,8360.38,1312.75,13.42,3230.09,3363.8,1994.51
2023-05-16,1821.6,1200.47,2249.43,3409.16,1517.67,62.72,9203.56,4354.61,8443.07,1301.06,13.45,3256.32,3365.37,1997.52
2023-05-17,1845.01,1209.14,2298.71,3429.18,1552.23,63.42,9296.93,4392.42,8614.3,1331.88,13.45,3287.57,3419.86,2011.66
2023-05-18,1877.32,1222.46,2363.52,3557.92,1585.85,64.61,9491.36,4434.49,8762.89,1343.8,13.62,3361.1,3507.09,2086.2
2023-05-21,1883.2,1223.12,2357.0,3651.88,1583.06,64.83,9528.9,4406.89,9007.72,1348.08,13.64,3380.68,3499.2,2129.73
